Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,13.88325951,13.650284566192504,0.2329749487731955
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.707221383301414,12.670658013360867,0.03656337
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.56994712416958,12.45162146581195,0.1183256583576284
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.351600256813873,12.427581789618332,-0.075981533
PRT,porto,01:30.0,0,2,0,0,0,01:30.0,12.860562828309636,13.04356444,-0.183001614
PRT,porto,01:30.0,1.5,6,0.2,1,0,01:30.0,13.475210249289017,13.521256037080413,-0.046045788
PRT,porto,01:30.0,10.9,11,0.9,5,3,01:30.0,14.021385070771114,14.035703344680435,-0.014318274
PRT,porto,01:30.0,98.7,28,8.8,29,12,01:30.0,15.499174588903102,15.541740394435774,-0.042565806
PRT,porto,01:30.0,624.8,70,98.7,157,34,01:30.0,20.35733045701011,18.606405126485534,1.750925330524577
PRT,porto,31:30.0,1166,81,159.8,270,43,01:30.0,21.66253189526879,19.496231816139616,2.166300079129172
PRT,porto,46:30.0,863.8,67,128.2,223,41,46:30.0,19.91483300547896,18.877168808405475,1.0376641970734823
PRT,porto,46:30.0,224.5,34,35.3,74,34,01:30.0,15.93570098,16.502622601158134,-0.566921619
PRT,porto,46:30.0,115.7,28,16.2,40,34,46:30.0,15.27352968422325,15.647718037612194,-0.374188353
PRT,porto,46:30.0,81.3,25,12.1,30,21,46:30.0,14.921243005928895,15.105486064760088,-0.184243059
PRT,porto,46:30.0,52.4,20,8.3,23,13,01:30.0,14.524651026471034,14.627885178145071,-0.103234152
PRT,porto,01:30.0,78.2,23,7.2,16,16,01:30.0,14.64627042,14.658168251801207,-0.011897833
PRT,porto,01:30.0,136.9,25,15.6,43,15,31:30.0,14.931616160090387,15.146090608257762,-0.214474448
PRT,porto,01:30.0,111.1,33,18.9,36,11,31:30.0,15.59144947398532,15.628024138217532,-0.036574664
PRT,porto,01:30.0,490.6,57,88.2,147,8,46:30.0,18.23657684894718,16.787826526853163,1.4487503220940177
PRT,porto,46:30.0,541.7,58,91.5,150,7,46:30.0,18.43588123378369,16.942036084801384,1.4938451489823024
PRT,porto,46:30.0,192.3,27,55.1,54,3,46:30.0,13.63958282703604,13.04091206,0.5986707658798416
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,10.377923231346342,10.339107764895331,0.038815466
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,10.691018138563082,10.55813707270055,0.1328810658625325
PRT,porto,01:30.0,0.5,0,2.2,1,0,01:30.0,11.57854188871581,11.471708952337885,0.1068329363779252
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,13.182530834507924,12.864091991689712,0.3184388428182121
PRT,porto,01:30.0,0.7,0,2.7,1,0,01:30.0,12.811598867746746,12.656319806758583,0.1552790609881604
PRT,porto,01:30.0,2.8,0,0.1,1,0,01:30.0,12.619211031327104,12.450417883724407,0.1687931476026953
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.11537431616966,12.196117038217846,-0.080742722
PRT,porto,01:30.0,0,1,0,0,0,01:30.0,12.745251342076472,12.912833989448147,-0.167582647
PRT,porto,01:30.0,3,7,0.2,2,0,01:30.0,13.60447319446431,13.40624598,0.198227217
PRT,porto,31:30.0,1.5,9,0.1,1,0,01:30.0,13.904222767956194,13.70146403676548,0.2027587311907126
PRT,porto,01:30.0,18.3,21,1.7,7,1,01:30.0,14.64839347310277,15.41241612182483,-0.764022649
PRT,porto,01:30.0,452.6,60,73.1,123,8,01:30.0,19.20748139,18.642249744373544,0.5652316411666582
PRT,porto,31:30.0,1055.9,70,138.7,262,14,01:30.0,20.159368793400205,19.37174846983814,0.7876203235620665
PRT,porto,46:30.0,868.5,62,118.9,229,15,16:30.0,19.16312539084814,18.67798974353692,0.4851356473112211
PRT,porto,46:30.0,389.9,37,41.4,101,14,46:30.0,16.25359131753899,16.294152460485996,-0.040561143
PRT,porto,31:30.0,112.6,27,16.2,33,9,46:30.0,15.291936043142748,15.608525615743943,-0.316589573
PRT,porto,31:30.0,140.9,27,18.1,34,2,46:30.0,15.451816302870832,15.08828838706833,0.3635279158025017
PRT,porto,46:30.0,159.8,22,17.6,40,4,01:30.0,14.921834583833787,14.67567217,0.2461624148144903
PRT,porto,01:30.0,115.9,21,11.1,28,5,31:30.0,14.733359961385052,14.879144577828567,-0.145784616
PRT,porto,01:30.0,236.2,33,22.1,51,2,46:30.0,15.850087288258123,14.854647148950988,0.9954401393071368
PRT,porto,01:30.0,478.8,65,87.8,108,0,01:30.0,19.92328451,15.751507460749966,4.171777047000333
PRT,porto,01:30.0,1785.6,103,214.7,381,0,01:30.0,24.34278093276152,16.92820645518593,7.414574477575584
PRT,porto,46:30.0,1861.4,100,217.6,373,0,01:30.0,24.02227507198551,17.05965389387051,6.9626211781150005
PRT,porto,46:30.0,340.3,39,86.4,67,0,01:30.0,15.172417867404578,13.078833465881116,2.093584401523461
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,10.497118787242442,10.390565725239556,0.1065530620028862
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,10.36363858,10.24452818073671,0.1191103980832899
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,11.970281890729597,11.746283650706014,0.2239982400235831
PRT,porto,01:30.0,0.5,0,2.1,1,4,01:30.0,13.222509506969406,12.78254207845982,0.4399674285095862
PRT,porto,01:30.0,0,0,0,0,8,01:30.0,12.493909208632664,12.293539716350708,0.2003694922819576
PRT,porto,01:30.0,0,0,0,0,12,01:30.0,12.589175003071636,12.226807802534076,0.3623672005375589
PRT,porto,01:30.0,1.5,0,0.4,1,11,01:30.0,12.04731648,12.019853449365572,0.027463033
PRT,porto,01:30.0,7.1,1,0.2,2,15,46:30.0,12.676694701413316,12.735233192498734,-0.058538491
PRT,porto,01:30.0,5.3,1,0.5,1,5,46:30.0,12.963023617162804,13.334883334521727,-0.371859717
PRT,porto,01:30.0,7.7,6,0.5,3,2,01:30.0,13.436190069199837,13.78276057942141,-0.34657051
PRT,porto,01:30.0,31.1,25,5.9,10,7,01:30.0,15.181146104101463,14.894819466900769,0.2863266372006965
PRT,porto,01:30.0,663.1,76,109.1,179,13,01:30.0,21.12496453,18.002236094977356,3.122728434573545
PRT,porto,31:30.0,1337.8,88,195.8,337,19,01:30.0,22.352834244233225,18.82016292,3.5326713209346288
PRT,porto,46:30.0,1076.5,74,155.2,289,23,01:30.0,20.903378370584488,18.282605213745672,2.6207731568388155
PRT,porto,46:30.0,302.8,39,52.1,99,25,16:30.0,16.582627062656695,16.061446698415654,0.5211803642410402
PRT,porto,31:30.0,100.9,30,18,36,23,46:30.0,15.509155932342864,15.331876365451835,0.1772795668910287
PRT,porto,46:30.0,142.1,29,24.8,46,15,46:30.0,15.599318714653698,15.05587001879881,0.5434486958548881
PRT,porto,46:30.0,59.2,20,7.3,23,20,01:30.0,14.594104585855776,14.54119227919408,0.052912307
PRT,porto,01:30.0,41,18,8.5,17,20,01:30.0,14.30438733133013,14.405053570433362,-0.100666239
PRT,porto,01:30.0,61,20,8.6,21,22,16:30.0,14.437685231448487,14.680804395625096,-0.243119164
PRT,porto,01:30.0,104.8,24,16.3,37,21,46:30.0,14.765817225178951,14.96526058062531,-0.199443355
PRT,porto,01:30.0,103.4,33,21.8,33,13,46:30.0,15.483369565061274,15.561421569432053,-0.078052004
PRT,porto,01:30.0,520.7,61,90.6,145,6,46:30.0,18.755297653759627,16.937501009562588,1.8177966441970383
